
# Surface 0 of 1 surfaces

# Curve title: ""MAC_example_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 30 -10  0 i
 30 -9.9  0 i
 30 -9.8  0 i
 30 -9.7  0 i
 30 -9.6  0 i
 30 -9.5  0 i
 30 -9.4  0 i
 30 -9.3  0 i
 30 -9.2  0 i
 30 -9.1  0 i
 30 -9  0 i
 30 -8.9  0 i
 30 -8.8  0 i
 30 -8.7  0 i
 30 -8.6  0 i
 30 -8.5  0 i
 30 -8.4  0 i
 30 -8.3  0 i
 30 -8.2  0 i
 30 -8.1  0 i
 30 -8  0 i
 30 -7.9  0 i
 30 -7.8  0 i
 30 -7.7  0 i
 30 -7.6  0 i
 30 -7.5  0 i
 30 -7.4  0 i
 30 -7.3  0 i
 30 -7.2  0 i
 30 -7.1  0 i
 30 -7  0 i
 30 -6.9  0 i
 30 -6.8  0 i
 30 -6.7  0 i
 30 -6.6  0 i
 30 -6.5  0 i
 30 -6.4  0 i
 30 -6.3  0 i
 30 -6.2  0 i
 30 -6.1  0 i
 30 -6  0 i
 30 -5.9  0 i
 30 -5.8  0 i
 30 -5.7  0 i
 30 -5.6  0 i
 30 -5.5  0 i
 30 -5.4  0 i
 30 -5.3  0 i
 30 -5.2  0 i
 30 -5.1  0 i
 30 -5  0 i
 30 -4.9  0 i
 30 -4.8  0 i
 30 -4.7  0 i
 30 -4.6  0 i
 30 -4.5  0 i
 30 -4.4  0 i
 30 -4.3  0 i
 30 -4.2  0 i
 30 -4.1  0 i
 30 -4  0 i
 30 -3.9  0 i
 30 -3.8  0 i
 30 -3.7  0 i
 30 -3.6  0 i
 30 -3.5  0 i
 30 -3.4  0 i
 30 -3.3  0 i
 30 -3.2  0 i
 30 -3.1  0 i
 30 -3  0 i
 30 -2.9  0 i
 30 -2.8  0 i
 30 -2.7  0 i
 30 -2.6  0 i
 30 -2.5  0 i
 30 -2.4  0 i
 30 -2.3  0 i
 30 -2.2  0 i
 30 -2.1  0 i
 30 -2  0 i
 30 -1.9  0 i
 30 -1.8  0 i
 30 -1.7  0 i
 30 -1.6  0 i
 30 -1.5  0 i
 30 -1.4  0 i
 30 -1.3  0 i
 30 -1.2  0 i
 30 -1.1  0 i
 30 -1  0 i
 30 -0.9  0 i
 30 -0.8  0 i
 30 -0.7  0 i
 30 -0.6  0 i
 30 -0.5  0 i
 30 -0.4  0 i
 30 -0.3  0 i
 30 -0.2  0 i
 30 -0.1  0 i
 30  0  0 i
 30  0.1  0 i
 30  0.2  0 i
 30  0.3  0 i
 30  0.4  0 i
 30  0.5  0 i
 30  0.6  0 i
 30  0.7  0 i
 30  0.8  0 i
 30  0.9  0 i
 30  1  0 i
 30  1.1  0 i
 30  1.2  0 i
 30  1.3  0 i
 30  1.4  0 i
 30  1.5  0 i
 30  1.6  0 i
 30  1.7  0 i
 30  1.8  0 i
 30  1.9  0 i
